WeekEnding,Country,SIMDQuintile,CardioAdmissions,Average20182019,PercentVariation
20211107,S92000003,4,65,78.5,-17.2
20211107,S92000003,5,55,57.5,-4.3
20211114,S92000003,1,70,128.5,-45.5
20211114,S92000003,2,87,105,-17.1
20211114,S92000003,3,100,88,13.6
20211114,S92000003,4,90,83.5,7.8
20211114,S92000003,5,60,58.5,2.6
20211121,S92000003,1,91,115,-20.9
20211121,S92000003,2,81,79.5,1.9
20211121,S92000003,3,96,83.5,15
20211121,S92000003,4,92,76,21.1
20211121,S92000003,5,48,60.5,-20.7
20211128,S92000003,1,107,95.5,12
20211128,S92000003,2,77,87.5,-12
20211128,S92000003,3,95,80,18.8
20211128,S92000003,4,77,81,-4.9
20211128,S92000003,5,66,57.5,14.8
20211205,S92000003,1,99,99,-0
20211205,S92000003,2,66,88,-25
20211205,S92000003,3,67,91,-26.4
20211205,S92000003,4,95,97,-2.1
20211205,S92000003,5,58,55.5,4.5
20211212,S92000003,1,86,102.5,-16.1
20211212,S92000003,2,66,83,-20.5
20211212,S92000003,3,90,84,7.1
20211212,S92000003,4,100,80.5,24.2
20211212,S92000003,5,67,72.5,-7.6
20211219,S92000003,1,70,101,-30.7
20211219,S92000003,2,74,87.5,-15.4
20211219,S92000003,3,78,93.5,-16.6
20211219,S92000003,4,83,93,-10.8
20211219,S92000003,5,52,58.5,-11.1
20211226,S92000003,1,80,102,-21.6
20211226,S92000003,2,72,89.5,-19.6
20211226,S92000003,3,68,80.5,-15.5
20211226,S92000003,4,73,80.5,-9.3
20211226,S92000003,5,54,59,-8.5
20220102,S92000003,1,104,97,7.2
20220102,S92000003,2,74,91.5,-19.1
20220102,S92000003,3,93,87.5,6.3
20220102,S92000003,4,81,75.5,7.3
20220102,S92000003,5,48,62.5,-23.2
20220109,S92000003,1,81,107.5,-24.7
20220109,S92000003,2,97,99,-2
20220109,S92000003,3,84,86.5,-2.9
20220109,S92000003,4,108,82.5,30.9
20220109,S92000003,5,44,62.5,-29.6
20220116,S92000003,1,101,119.5,-15.5
