Date,Country,SIMDQuintile,DailyPositive,CumulativePositive,DailyDeaths,DailyDeathsQF,CumulativeDeaths,CumulativeDeathsQF,CrudeRateDeaths,CrudeRateDeathsQF,FirstInfections,FirstInfectionsCumulative,Reinfections,ReinfectionsCumulative,PercentReinfections,PercentReinfectionsCumulative
20220106,S92000003,1,3298,245703,4,,2848,,263.03952889324825,,2986,237342,312,8361,9.460278956943602,3.402888853615951
20220106,S92000003,2,3024,228007,2,,2370,,218.6798748080784,,2734,221325,290,6682,9.58994708994709,2.9306117794629114
20220106,S92000003,3,2534,198534,3,,1841,,168.6390071825011,,2319,193223,215,5311,8.484609313338595,2.675108545639538
20220106,S92000003,4,2594,208011,5,,1619,,145.2589853763051,,2413,202739,181,5272,6.977640709329221,2.5344813495440146
20220106,S92000003,5,2389,206449,4,,1333,,121.92946750758055,,2225,201472,164,4977,6.864796986186689,2.4107648862430917
20220107,S92000003,1,2111,247814,3,,2851,,263.3166070486836,,1892,239234,219,8580,10.374230222643297,3.46227412494855
20220107,S92000003,2,2030,230037,1,,2371,,218.77214479744893,,1845,223170,185,6867,9.113300492610838,2.9851719505992516
20220107,S92000003,3,1689,200223,3,,1844,,168.9138127346725,,1573,194796,116,5427,6.867969212551806,2.710477817233784
20220107,S92000003,4,1690,209701,2,,1621,,145.43842822420666,,1576,204315,114,5386,6.745562130177515,2.5684188439730855
20220107,S92000003,5,1586,208035,2,,1335,,122.11240744382602,,1474,202946,112,5089,7.061790668348046,2.4462229913235753
20220108,S92000003,1,1624,249438,6,,2857,,263.87076335955413,,1441,240675,183,8763,11.26847290640394,3.513097443051981
20220108,S92000003,2,1586,231623,1,,2372,,218.86441478681945,,1454,224624,132,6999,8.32282471626734,3.0217206408689985
20220108,S92000003,3,1369,201592,5,,1849,,169.37182198829146,,1255,196051,114,5541,8.327246165084002,2.7486209770228975
20220108,S92000003,4,1381,211082,1,,1622,,145.52814964815744,,1282,205597,99,5485,7.168718320057929,2.598516216446689
20220108,S92000003,5,1291,209326,3,,1338,,122.38681734819416,,1217,204163,74,5163,5.731990704879938,2.466487679504696
20220109,S92000003,1,1685,251123,3,,2860,,264.14784151498947,,1524,242199,161,8924,9.554896142433234,3.553637062316076
20220109,S92000003,2,1599,233222,3,,2375,,219.1412247549309,,1456,226080,143,7142,8.94308943089431,3.062318306163226
20220109,S92000003,3,1409,203001,4,,1853,,169.73822939118662,,1331,197382,78,5619,5.53584102200142,2.7679666602627573
20220109,S92000003,4,1522,212604,3,,1625,,145.79731392000977,,1420,207017,102,5587,6.701708278580814,2.6278903501345225
20220109,S92000003,5,1445,210771,6,,1344,,122.93563715693044,,1364,205527,81,5244,5.6055363321799305,2.488008312338984
20220110,S92000003,1,2290,253413,7,,2867,,264.7943572110052,,2028,244227,262,9186,11.441048034934498,3.6249126919297745
20220110,S92000003,2,2069,235291,7,,2382,,219.7871146805244,,1892,227972,177,7319,8.554857419043016,3.110616215664858
20220110,S92000003,3,1718,204719,4,,1857,,170.10463679408178,,1592,198974,126,5745,7.334109429569266,2.806285689164171
20220110,S92000003,4,1715,214319,2,,1627,,145.97675676791133,,1613,208630,102,5689,5.947521865889213,2.654454341425632
20220110,S92000003,5,1590,212361,0,,1344,,122.93563715693044,,1490,207017,100,5344,6.289308176100629,2.516469596583177
20220111,S92000003,1,1857,255270,4,,2871,,265.16379475158556,,1629,245856,228,9414,12.277867528271406,3.687859913033259
20220111,S92000003,2,1813,237104,4,,2386,,220.15619463800635,,1647,229619,166,7485,9.156094870380583,3.1568425669748295
