month_of_delay,hbt,age_group,number_of_delayed_bed_days,average_daily_number_of_delayed_beds
2020-03-01,S08000028,75plus,183,6
2020-03-01,S08000029,18plus,3816,123
2020-03-01,S08000029,18-74,1455,47
2020-03-01,S08000029,75plus,2361,76
2020-03-01,S08000030,18plus,2031,66
2020-03-01,S08000030,18-74,819,26
2020-03-01,S08000030,75plus,1212,39
2020-03-01,S08000031,18plus,7945,256
2020-03-01,S08000031,18-74,3433,111
2020-03-01,S08000031,75plus,4512,146
2020-03-01,S08000032,18plus,6749,218
2020-03-01,S08000032,18-74,2123,68
2020-03-01,S08000032,75plus,4626,149
2020-03-01,S92000003,18plus,45009,1452
2020-03-01,S92000003,18-74,15427,498
2020-03-01,S92000003,75plus,29582,954
2020-04-01,S08000015,18plus,1972,66
2020-04-01,S08000015,18-74,666,22
2020-04-01,S08000015,75plus,1306,44
2020-04-01,S08000016,18plus,566,19
2020-04-01,S08000016,18-74,132,4
2020-04-01,S08000016,75plus,434,14
2020-04-01,S08000017,18plus,264,9
2020-04-01,S08000017,18-74,162,5
2020-04-01,S08000017,75plus,102,3
2020-04-01,S08000019,18plus,1169,39
2020-04-01,S08000019,18-74,464,15
2020-04-01,S08000019,75plus,705,24
2020-04-01,S08000020,18plus,876,29
2020-04-01,S08000020,18-74,255,9
2020-04-01,S08000020,75plus,621,21
2020-04-01,S08000022,18plus,1562,52
2020-04-01,S08000022,18-74,590,20
2020-04-01,S08000022,75plus,972,32
2020-04-01,S08000024,18plus,2531,84
2020-04-01,S08000024,18-74,1134,38
2020-04-01,S08000024,75plus,1397,47
2020-04-01,S08000025,18plus,0,0
2020-04-01,S08000025,18-74,0,0
2020-04-01,S08000025,75plus,0,0
2020-04-01,S08000026,18plus,0,0
2020-04-01,S08000026,18-74,0,0
2020-04-01,S08000026,75plus,0,0
2020-04-01,S08000028,18plus,78,3
2020-04-01,S08000028,18-74,58,2
2020-04-01,S08000028,75plus,20,1
2020-04-01,S08000029,18plus,2078,69
2020-04-01,S08000029,18-74,943,31
2020-04-01,S08000029,75plus,1135,38
2020-04-01,S08000030,18plus,1058,35
2020-04-01,S08000030,18-74,562,19
2020-04-01,S08000030,75plus,496,17
2020-04-01,S08000031,18plus,5607,187
2020-04-01,S08000031,18-74,2678,89
2020-04-01,S08000031,75plus,2929,98
2020-04-01,S08000032,18plus,2532,84
2020-04-01,S08000032,18-74,871,29
2020-04-01,S08000032,75plus,1661,55
2020-04-01,S92000003,18plus,20293,676
2020-04-01,S92000003,18-74,8515,284
2020-04-01,S92000003,75plus,11778,393
2020-05-01,S08000015,18plus,1704,55
2020-05-01,S08000015,18-74,523,17
2020-05-01,S08000015,75plus,1181,38
2020-05-01,S08000016,18plus,731,24
2020-05-01,S08000016,18-74,255,8
2020-05-01,S08000016,75plus,476,15
2020-05-01,S08000017,18plus,231,7
2020-05-01,S08000017,18-74,177,6
2020-05-01,S08000017,75plus,54,2
2020-05-01,S08000019,18plus,1345,43
2020-05-01,S08000019,18-74,476,15
2020-05-01,S08000019,75plus,869,28
2020-05-01,S08000020,18plus,931,30
2020-05-01,S08000020,18-74,287,9
2020-05-01,S08000020,75plus,644,21
2020-05-01,S08000022,18plus,1689,54
2020-05-01,S08000022,18-74,713,23
2020-05-01,S08000022,75plus,976,31
2020-05-01,S08000024,18plus,2600,84
2020-05-01,S08000024,18-74,1087,35
2020-05-01,S08000024,75plus,1513,49
2020-05-01,S08000025,18plus,0,0
2020-05-01,S08000025,18-74,0,0
2020-05-01,S08000025,75plus,0,0
2020-05-01,S08000026,18plus,0,0
2020-05-01,S08000026,18-74,0,0
2020-05-01,S08000026,75plus,0,0
2020-05-01,S08000028,18plus,112,4
2020-05-01,S08000028,18-74,50,2
2020-05-01,S08000028,75plus,62,2
2020-05-01,S08000029,18plus,1665,54
2020-05-01,S08000029,18-74,706,23
2020-05-01,S08000029,75plus,959,31
2020-05-01,S08000030,18plus,1232,40
2020-05-01,S08000030,18-74,582,19
2020-05-01,S08000030,75plus,650,21
2020-05-01,S08000031,18plus,5303,171
2020-05-01,S08000031,18-74,2703,87
2020-05-01,S08000031,75plus,2600,84
2020-05-01,S08000032,18plus,3682,119
2020-05-01,S08000032,18-74,1122,36
2020-05-01,S08000032,75plus,2560,83
2020-05-01,S92000003,18plus,21225,685
2020-05-01,S92000003,18-74,8681,280
2020-05-01,S92000003,75plus,12544,405
2020-06-01,S08000015,18plus,1713,57
2020-06-01,S08000015,18-74,506,17
2020-06-01,S08000015,75plus,1207,40
2020-06-01,S08000016,18plus,795,27
2020-06-01,S08000016,18-74,226,8
2020-06-01,S08000016,75plus,569,19
2020-06-01,S08000017,18plus,458,15
2020-06-01,S08000017,18-74,310,10
2020-06-01,S08000017,75plus,148,5
2020-06-01,S08000019,18plus,1571,52
2020-06-01,S08000019,18-74,573,19
2020-06-01,S08000019,75plus,998,33
2020-06-01,S08000020,18plus,1042,35
2020-06-01,S08000020,18-74,280,9
2020-06-01,S08000020,75plus,762,25
2020-06-01,S08000022,18plus,1842,61
2020-06-01,S08000022,18-74,729,24
2020-06-01,S08000022,75plus,1113,37
2020-06-01,S08000024,18plus,3044,101
2020-06-01,S08000024,18-74,1001,33
2020-06-01,S08000024,75plus,2043,68
2020-06-01,S08000025,18plus,36,1
2020-06-01,S08000025,18-74,3,0
2020-06-01,S08000025,75plus,33,1
2020-06-01,S08000026,18plus,2,0
2020-06-01,S08000026,18-74,0,0
2020-06-01,S08000026,75plus,2,0
2020-06-01,S08000028,18plus,171,6
2020-06-01,S08000028,18-74,40,1
2020-06-01,S08000028,75plus,131,4
2020-06-01,S08000029,18plus,1725,58
2020-06-01,S08000029,18-74,737,25
2020-06-01,S08000029,75plus,988,33
2020-06-01,S08000030,18plus,1164,39
2020-06-01,S08000030,18-74,530,18
2020-06-01,S08000030,75plus,634,21
2020-06-01,S08000031,18plus,6208,207
2020-06-01,S08000031,18-74,3049,102
2020-06-01,S08000031,75plus,3159,105
2020-06-01,S08000032,18plus,3958,132
2020-06-01,S08000032,18-74,1151,38
2020-06-01,S08000032,75plus,2807,94
2020-06-01,S92000003,18plus,23729,791
2020-06-01,S92000003,18-74,9135,305
2020-06-01,S92000003,75plus,14594,486
2020-07-01,S08000015,18plus,1589,51
2020-07-01,S08000015,18-74,459,15
2020-07-01,S08000015,75plus,1130,36
2020-07-01,S08000016,18plus,842,27
2020-07-01,S08000016,18-74,252,8
2020-07-01,S08000016,75plus,590,19
2020-07-01,S08000017,18plus,682,22
2020-07-01,S08000017,18-74,424,14
2020-07-01,S08000017,75plus,258,8
2020-07-01,S08000019,18plus,1753,57
2020-07-01,S08000019,18-74,664,21
2020-07-01,S08000019,75plus,1089,35
2020-07-01,S08000020,18plus,1563,50
2020-07-01,S08000020,18-74,365,12
2020-07-01,S08000020,75plus,1198,39
2020-07-01,S08000022,18plus,2444,79
2020-07-01,S08000022,18-74,936,30
2020-07-01,S08000022,75plus,1508,49
2020-07-01,S08000024,18plus,4534,146
2020-07-01,S08000024,18-74,1497,48
2020-07-01,S08000024,75plus,3037,98
2020-07-01,S08000025,18plus,75,2
2020-07-01,S08000025,18-74,24,1
2020-07-01,S08000025,75plus,51,2
2020-07-01,S08000026,18plus,25,1
2020-07-01,S08000026,18-74,8,0
2020-07-01,S08000026,75plus,17,1
2020-07-01,S08000028,18plus,150,5
2020-07-01,S08000028,18-74,20,1
2020-07-01,S08000028,75plus,130,4
2020-07-01,S08000029,18plus,2250,73
2020-07-01,S08000029,18-74,884,29
2020-07-01,S08000029,75plus,1366,44
2020-07-01,S08000030,18plus,1395,45
2020-07-01,S08000030,18-74,660,21
2020-07-01,S08000030,75plus,735,24
2020-07-01,S08000031,18plus,6687,216
2020-07-01,S08000031,18-74,3046,98
2020-07-01,S08000031,75plus,3641,117
2020-07-01,S08000032,18plus,4388,142
2020-07-01,S08000032,18-74,1459,47
2020-07-01,S08000032,75plus,2929,94
2020-07-01,S92000003,18plus,28377,915
2020-07-01,S92000003,18-74,10698,345
2020-07-01,S92000003,75plus,17679,570
2020-08-01,S08000015,18plus,1978,64
2020-08-01,S08000015,18-74,716,23
2020-08-01,S08000015,75plus,1262,41
2020-08-01,S08000016,18plus,923,30
2020-08-01,S08000016,18-74,252,8
2020-08-01,S08000016,75plus,671,22
2020-08-01,S08000017,18plus,799,26
2020-08-01,S08000017,18-74,453,15
2020-08-01,S08000017,75plus,346,11
2020-08-01,S08000019,18plus,2214,71
2020-08-01,S08000019,18-74,751,24
2020-08-01,S08000019,75plus,1463,47
2020-08-01,S08000020,18plus,1779,57
2020-08-01,S08000020,18-74,443,14
2020-08-01,S08000020,75plus,1336,43
2020-08-01,S08000022,18plus,2829,91
2020-08-01,S08000022,18-74,999,32
2020-08-01,S08000022,75plus,1830,59
2020-08-01,S08000024,18plus,4738,153
2020-08-01,S08000024,18-74,1653,53
2020-08-01,S08000024,75plus,3085,100
2020-08-01,S08000025,18plus,69,2
2020-08-01,S08000025,18-74,31,1
2020-08-01,S08000025,75plus,38,1
2020-08-01,S08000026,18plus,37,1
2020-08-01,S08000026,18-74,13,0
2020-08-01,S08000026,75plus,24,1
2020-08-01,S08000028,18plus,252,8
2020-08-01,S08000028,18-74,26,1
2020-08-01,S08000028,75plus,226,7
2020-08-01,S08000029,18plus,2938,95
2020-08-01,S08000029,18-74,1243,40
2020-08-01,S08000029,75plus,1695,55
2020-08-01,S08000030,18plus,1809,58
2020-08-01,S08000030,18-74,857,28
2020-08-01,S08000030,75plus,952,31
2020-08-01,S08000031,18plus,7014,226
2020-08-01,S08000031,18-74,3086,100
2020-08-01,S08000031,75plus,3928,127
2020-08-01,S08000032,18plus,4939,159
2020-08-01,S08000032,18-74,1826,59
2020-08-01,S08000032,75plus,3113,100
2020-08-01,S92000003,18plus,32318,1043
2020-08-01,S92000003,18-74,12349,398
2020-08-01,S92000003,75plus,19969,644
2020-09-01,S08000015,18plus,1983,66
2020-09-01,S08000015,18-74,743,25
2020-09-01,S08000015,75plus,1240,41
2020-09-01,S08000016,18plus,904,30
2020-09-01,S08000016,18-74,282,9
2020-09-01,S08000016,75plus,622,21
2020-09-01,S08000017,18plus,889,30
2020-09-01,S08000017,18-74,427,14
2020-09-01,S08000017,75plus,462,15
2020-09-01,S08000019,18plus,2289,76
2020-09-01,S08000019,18-74,879,29
2020-09-01,S08000019,75plus,1410,47
2020-09-01,S08000020,18plus,2127,71
2020-09-01,S08000020,18-74,626,21
2020-09-01,S08000020,75plus,1501,50
2020-09-01,S08000022,18plus,2923,97
2020-09-01,S08000022,18-74,953,32
2020-09-01,S08000022,75plus,1970,66
2020-09-01,S08000024,18plus,5382,179
2020-09-01,S08000024,18-74,1720,57
2020-09-01,S08000024,75plus,3662,122
2020-09-01,S08000025,18plus,122,4
2020-09-01,S08000025,18-74,34,1
2020-09-01,S08000025,75plus,88,3
2020-09-01,S08000026,18plus,32,1
2020-09-01,S08000026,18-74,8,0
2020-09-01,S08000026,75plus,24,1
2020-09-01,S08000028,18plus,363,12
2020-09-01,S08000028,18-74,0,0
2020-09-01,S08000028,75plus,363,12
2020-09-01,S08000029,18plus,2431,81
2020-09-01,S08000029,18-74,812,27
2020-09-01,S08000029,75plus,1619,54
2020-09-01,S08000030,18plus,1953,65
2020-09-01,S08000030,18-74,858,29
2020-09-01,S08000030,75plus,1095,37
2020-09-01,S08000031,18plus,6904,230
2020-09-01,S08000031,18-74,2886,96
2020-09-01,S08000031,75plus,4018,134
2020-09-01,S08000032,18plus,4657,155
2020-09-01,S08000032,18-74,1585,53
2020-09-01,S08000032,75plus,3072,102
2020-09-01,S92000003,18plus,32959,1099
2020-09-01,S92000003,18-74,11813,394
2020-09-01,S92000003,75plus,21146,705
2020-10-01,S08000015,18plus,2415,78
2020-10-01,S08000015,18-74,981,32
2020-10-01,S08000015,75plus,1434,46
2020-10-01,S08000016,18plus,816,26
2020-10-01,S08000016,18-74,216,7
2020-10-01,S08000016,75plus,600,19
2020-10-01,S08000017,18plus,1089,35
2020-10-01,S08000017,18-74,521,17
2020-10-01,S08000017,75plus,568,18
2020-10-01,S08000019,18plus,2560,83
2020-10-01,S08000019,18-74,1110,36
2020-10-01,S08000019,75plus,1450,47
2020-10-01,S08000020,18plus,1883,61
2020-10-01,S08000020,18-74,600,19
2020-10-01,S08000020,75plus,1283,41
2020-10-01,S08000022,18plus,2814,91
2020-10-01,S08000022,18-74,912,29
2020-10-01,S08000022,75plus,1902,61
2020-10-01,S08000024,18plus,5348,173
2020-10-01,S08000024,18-74,1941,63
2020-10-01,S08000024,75plus,3407,110
2020-10-01,S08000025,18plus,220,7
2020-10-01,S08000025,18-74,31,1
2020-10-01,S08000025,75plus,189,6
2020-10-01,S08000026,18plus,94,3
2020-10-01,S08000026,18-74,18,1
2020-10-01,S08000026,75plus,76,2
2020-10-01,S08000028,18plus,136,4
2020-10-01,S08000028,18-74,18,1
2020-10-01,S08000028,75plus,118,4
2020-10-01,S08000029,18plus,2369,76
2020-10-01,S08000029,18-74,687,22
2020-10-01,S08000029,75plus,1682,54
2020-10-01,S08000030,18plus,1795,58
2020-10-01,S08000030,18-74,726,23
2020-10-01,S08000030,75plus,1069,34
2020-10-01,S08000031,18plus,7275,235
2020-10-01,S08000031,18-74,3143,101
2020-10-01,S08000031,75plus,4132,133
2020-10-01,S08000032,18plus,4442,143
2020-10-01,S08000032,18-74,1210,39
2020-10-01,S08000032,75plus,3232,104
2020-10-01,S92000003,18plus,33256,1073
2020-10-01,S92000003,18-74,12114,391
2020-10-01,S92000003,75plus,21142,682
2020-11-01,S08000015,18plus,2829,94
2020-11-01,S08000015,18-74,981,33
2020-11-01,S08000015,75plus,1848,62
2020-11-01,S08000016,18plus,978,33
2020-11-01,S08000016,18-74,180,6
2020-11-01,S08000016,75plus,798,27
2020-11-01,S08000017,18plus,1074,36
2020-11-01,S08000017,18-74,509,17
2020-11-01,S08000017,75plus,565,19
2020-11-01,S08000019,18plus,2537,85
2020-11-01,S08000019,18-74,1024,34
2020-11-01,S08000019,75plus,1513,50
2020-11-01,S08000020,18plus,1826,61
2020-11-01,S08000020,18-74,514,17
2020-11-01,S08000020,75plus,1312,44
2020-11-01,S08000022,18plus,2870,96
2020-11-01,S08000022,18-74,775,26
2020-11-01,S08000022,75plus,2095,70
2020-11-01,S08000024,18plus,4768,159
2020-11-01,S08000024,18-74,1860,62
2020-11-01,S08000024,75plus,2908,97
2020-11-01,S08000025,18plus,202,7
2020-11-01,S08000025,18-74,96,3
2020-11-01,S08000025,75plus,106,4
2020-11-01,S08000026,18plus,45,2
2020-11-01,S08000026,18-74,12,0
2020-11-01,S08000026,75plus,33,1
2020-11-01,S08000028,18plus,189,6
2020-11-01,S08000028,18-74,55,2
2020-11-01,S08000028,75plus,134,4
2020-11-01,S08000029,18plus,2619,87
2020-11-01,S08000029,18-74,729,24
2020-11-01,S08000029,75plus,1890,63
2020-11-01,S08000030,18plus,1330,44
2020-11-01,S08000030,18-74,483,16
2020-11-01,S08000030,75plus,847,28
2020-11-01,S08000031,18plus,7811,260
2020-11-01,S08000031,18-74,3169,106
2020-11-01,S08000031,75plus,4642,155
2020-11-01,S08000032,18plus,4385,146
2020-11-01,S08000032,18-74,1444,48
2020-11-01,S08000032,75plus,2941,98
2020-11-01,S92000003,18plus,33463,1115
2020-11-01,S92000003,18-74,11831,394
2020-11-01,S92000003,75plus,21632,721
2020-12-01,S08000015,18plus,3093,100
2020-12-01,S08000015,18-74,926,30
2020-12-01,S08000015,75plus,2167,70
2020-12-01,S08000016,18plus,872,28
2020-12-01,S08000016,18-74,128,4
2020-12-01,S08000016,75plus,744,24
2020-12-01,S08000017,18plus,1083,35
2020-12-01,S08000017,18-74,451,15
2020-12-01,S08000017,75plus,632,20
2020-12-01,S08000019,18plus,2634,85
2020-12-01,S08000019,18-74,973,31
2020-12-01,S08000019,75plus,1661,54
2020-12-01,S08000020,18plus,1615,52
2020-12-01,S08000020,18-74,440,14
2020-12-01,S08000020,75plus,1175,38
2020-12-01,S08000022,18plus,3083,99
2020-12-01,S08000022,18-74,725,23
2020-12-01,S08000022,75plus,2358,76
2020-12-01,S08000024,18plus,4718,152
2020-12-01,S08000024,18-74,1880,61
2020-12-01,S08000024,75plus,2838,92
2020-12-01,S08000025,18plus,145,5
2020-12-01,S08000025,18-74,62,2
2020-12-01,S08000025,75plus,83,3
2020-12-01,S08000026,18plus,46,1
2020-12-01,S08000026,18-74,5,0
2020-12-01,S08000026,75plus,41,1
2020-12-01,S08000028,18plus,349,11
2020-12-01,S08000028,18-74,61,2
2020-12-01,S08000028,75plus,288,9
2020-12-01,S08000029,18plus,2451,79
2020-12-01,S08000029,18-74,712,23
2020-12-01,S08000029,75plus,1739,56
2020-12-01,S08000030,18plus,1765,57
2020-12-01,S08000030,18-74,681,22
2020-12-01,S08000030,75plus,1084,35
2020-12-01,S08000031,18plus,7731,249
2020-12-01,S08000031,18-74,2986,96
2020-12-01,S08000031,75plus,4745,153
2020-12-01,S08000032,18plus,3758,121
2020-12-01,S08000032,18-74,1159,37
2020-12-01,S08000032,75plus,2599,84
2020-12-01,S92000003,18plus,33343,1076
2020-12-01,S92000003,18-74,11189,361
2020-12-01,S92000003,75plus,22154,715
2021-01-01,S08000015,18plus,2837,92
2021-01-01,S08000015,18-74,1038,33
2021-01-01,S08000015,75plus,1799,58
2021-01-01,S08000016,18plus,756,24
2021-01-01,S08000016,18-74,187,6
2021-01-01,S08000016,75plus,569,18
2021-01-01,S08000017,18plus,983,32
2021-01-01,S08000017,18-74,452,15
2021-01-01,S08000017,75plus,531,17
2021-01-01,S08000019,18plus,2647,85
2021-01-01,S08000019,18-74,925,30
2021-01-01,S08000019,75plus,1722,56
2021-01-01,S08000020,18plus,1842,59
2021-01-01,S08000020,18-74,527,17
2021-01-01,S08000020,75plus,1315,42
2021-01-01,S08000022,18plus,3623,117
2021-01-01,S08000022,18-74,876,28
2021-01-01,S08000022,75plus,2747,89
2021-01-01,S08000024,18plus,5030,162
2021-01-01,S08000024,18-74,1763,57
2021-01-01,S08000024,75plus,3267,105
2021-01-01,S08000025,18plus,135,4
2021-01-01,S08000025,18-74,85,3
2021-01-01,S08000025,75plus,50,2
2021-01-01,S08000026,18plus,18,1
2021-01-01,S08000026,18-74,2,0
2021-01-01,S08000026,75plus,16,1
2021-01-01,S08000028,18plus,354,11
2021-01-01,S08000028,18-74,85,3
2021-01-01,S08000028,75plus,269,9
2021-01-01,S08000029,18plus,2628,85
2021-01-01,S08000029,18-74,875,28
2021-01-01,S08000029,75plus,1753,57
2021-01-01,S08000030,18plus,1855,60
2021-01-01,S08000030,18-74,839,27
2021-01-01,S08000030,75plus,1016,33
2021-01-01,S08000031,18plus,8516,275
2021-01-01,S08000031,18-74,3266,105
2021-01-01,S08000031,75plus,5250,169
2021-01-01,S08000032,18plus,3949,127
2021-01-01,S08000032,18-74,1135,37
2021-01-01,S08000032,75plus,2814,91
2021-01-01,S92000003,18plus,35173,1135
2021-01-01,S92000003,18-74,12055,389
2021-01-01,S92000003,75plus,23118,746
2021-02-01,S08000015,18plus,2300,82
2021-02-01,S08000015,18-74,818,29
2021-02-01,S08000015,75plus,1482,53
2021-02-01,S08000016,18plus,717,26
2021-02-01,S08000016,18-74,112,4
2021-02-01,S08000016,75plus,605,22
2021-02-01,S08000017,18plus,733,26
2021-02-01,S08000017,18-74,307,11
2021-02-01,S08000017,75plus,426,15
2021-02-01,S08000019,18plus,2125,76
2021-02-01,S08000019,18-74,732,26
2021-02-01,S08000019,75plus,1393,50
2021-02-01,S08000020,18plus,1611,58
2021-02-01,S08000020,18-74,369,13
2021-02-01,S08000020,75plus,1242,44
2021-02-01,S08000022,18plus,3091,110
2021-02-01,S08000022,18-74,853,30
2021-02-01,S08000022,75plus,2238,80
2021-02-01,S08000024,18plus,4032,144
2021-02-01,S08000024,18-74,1262,45
2021-02-01,S08000024,75plus,2770,99
2021-02-01,S08000025,18plus,207,7
2021-02-01,S08000025,18-74,105,4
2021-02-01,S08000025,75plus,102,4
2021-02-01,S08000026,18plus,25,1
2021-02-01,S08000026,18-74,6,0
2021-02-01,S08000026,75plus,19,1
2021-02-01,S08000028,18plus,329,12
2021-02-01,S08000028,18-74,77,3
2021-02-01,S08000028,75plus,252,9
2021-02-01,S08000029,18plus,2781,99
2021-02-01,S08000029,18-74,1032,37
2021-02-01,S08000029,75plus,1749,62
2021-02-01,S08000030,18plus,1870,67
2021-02-01,S08000030,18-74,798,29
2021-02-01,S08000030,75plus,1072,38
2021-02-01,S08000031,18plus,7754,277
2021-02-01,S08000031,18-74,3217,115
2021-02-01,S08000031,75plus,4537,162
2021-02-01,S08000032,18plus,2875,103
2021-02-01,S08000032,18-74,759,27
2021-02-01,S08000032,75plus,2116,76
2021-02-01,S92000003,18plus,30450,1088
2021-02-01,S92000003,18-74,10447,373
2021-02-01,S92000003,75plus,20003,714
2021-03-01,S08000015,18plus,2851,92
2021-03-01,S08000015,18-74,1032,33
2021-03-01,S08000015,75plus,1819,59
2021-03-01,S08000016,18plus,1095,35
2021-03-01,S08000016,18-74,263,8
2021-03-01,S08000016,75plus,832,27
2021-03-01,S08000017,18plus,876,28
2021-03-01,S08000017,18-74,362,12
2021-03-01,S08000017,75plus,514,17
2021-03-01,S08000019,18plus,1857,60
2021-03-01,S08000019,18-74,712,23
2021-03-01,S08000019,75plus,1145,37
2021-03-01,S08000020,18plus,1726,56
2021-03-01,S08000020,18-74,413,13
2021-03-01,S08000020,75plus,1313,42
2021-03-01,S08000022,18plus,3099,100
2021-03-01,S08000022,18-74,889,29
2021-03-01,S08000022,75plus,2210,71
2021-03-01,S08000024,18plus,4848,156
2021-03-01,S08000024,18-74,1496,48
2021-03-01,S08000024,75plus,3352,108
2021-03-01,S08000025,18plus,234,8
2021-03-01,S08000025,18-74,105,3
2021-03-01,S08000025,75plus,129,4
2021-03-01,S08000026,18plus,54,2
2021-03-01,S08000026,18-74,30,1
2021-03-01,S08000026,75plus,24,1
2021-03-01,S08000028,18plus,508,16
2021-03-01,S08000028,18-74,35,1
2021-03-01,S08000028,75plus,473,15
2021-03-01,S08000029,18plus,3153,102
2021-03-01,S08000029,18-74,1294,42
2021-03-01,S08000029,75plus,1859,60
2021-03-01,S08000030,18plus,1932,62
2021-03-01,S08000030,18-74,838,27
2021-03-01,S08000030,75plus,1094,35
2021-03-01,S08000031,18plus,8429,272
2021-03-01,S08000031,18-74,3558,115
2021-03-01,S08000031,75plus,4871,157
2021-03-01,S08000032,18plus,3178,103
2021-03-01,S08000032,18-74,1048,34
2021-03-01,S08000032,75plus,2130,69
2021-03-01,S92000003,18plus,33840,1092
2021-03-01,S92000003,18-74,12075,390
2021-03-01,S92000003,75plus,21765,702
2021-04-01,S08000015,18plus,2414,80
2021-04-01,S08000015,18-74,824,27
2021-04-01,S08000015,75plus,1590,53
2021-04-01,S08000016,18plus,1067,36
2021-04-01,S08000016,18-74,337,11
2021-04-01,S08000016,75plus,730,24
2021-04-01,S08000017,18plus,966,32
2021-04-01,S08000017,18-74,378,13
2021-04-01,S08000017,75plus,588,20
2021-04-01,S08000019,18plus,2020,67
2021-04-01,S08000019,18-74,712,24
2021-04-01,S08000019,75plus,1308,44
2021-04-01,S08000020,18plus,1598,53
2021-04-01,S08000020,18-74,411,14
2021-04-01,S08000020,75plus,1187,40
2021-04-01,S08000022,18plus,2368,79
2021-04-01,S08000022,18-74,622,21
2021-04-01,S08000022,75plus,1746,58
2021-04-01,S08000024,18plus,5154,172
2021-04-01,S08000024,18-74,1648,55
2021-04-01,S08000024,75plus,3506,117
2021-04-01,S08000025,18plus,114,4
2021-04-01,S08000025,18-74,60,2
2021-04-01,S08000025,75plus,54,2
2021-04-01,S08000026,18plus,13,0
2021-04-01,S08000026,18-74,9,0
2021-04-01,S08000026,75plus,4,0
2021-04-01,S08000028,18plus,442,15
2021-04-01,S08000028,18-74,75,3
2021-04-01,S08000028,75plus,367,12
2021-04-01,S08000029,18plus,3466,116
2021-04-01,S08000029,18-74,1368,46
2021-04-01,S08000029,75plus,2098,70
2021-04-01,S08000030,18plus,1864,62
2021-04-01,S08000030,18-74,870,29
2021-04-01,S08000030,75plus,994,33
2021-04-01,S08000031,18plus,8195,273
2021-04-01,S08000031,18-74,3613,120
2021-04-01,S08000031,75plus,4582,153
2021-04-01,S08000032,18plus,2919,97
2021-04-01,S08000032,18-74,767,26
2021-04-01,S08000032,75plus,2152,72
2021-04-01,S92000003,18plus,32600,1087
2021-04-01,S92000003,18-74,11694,390
2021-04-01,S92000003,75plus,20906,697
2021-05-01,S08000015,18plus,2601,84
2021-05-01,S08000015,18-74,876,28
2021-05-01,S08000015,75plus,1725,56
2021-05-01,S08000016,18plus,1058,34
2021-05-01,S08000016,18-74,288,9
2021-05-01,S08000016,75plus,770,25
2021-05-01,S08000017,18plus,1113,36
2021-05-01,S08000017,18-74,445,14
2021-05-01,S08000017,75plus,668,22
2021-05-01,S08000019,18plus,2338,75
2021-05-01,S08000019,18-74,905,29
2021-05-01,S08000019,75plus,1433,46
2021-05-01,S08000020,18plus,1785,58
2021-05-01,S08000020,18-74,397,13
2021-05-01,S08000020,75plus,1388,45
2021-05-01,S08000022,18plus,2543,82
2021-05-01,S08000022,18-74,579,19
2021-05-01,S08000022,75plus,1964,63
2021-05-01,S08000024,18plus,5504,178
2021-05-01,S08000024,18-74,1721,56
2021-05-01,S08000024,75plus,3783,122
2021-05-01,S08000025,18plus,105,3
2021-05-01,S08000025,18-74,41,1
2021-05-01,S08000025,75plus,64,2
2021-05-01,S08000026,18plus,58,2
2021-05-01,S08000026,18-74,33,1
2021-05-01,S08000026,75plus,25,1
2021-05-01,S08000028,18plus,443,14
2021-05-01,S08000028,18-74,89,3
2021-05-01,S08000028,75plus,354,11
2021-05-01,S08000029,18plus,4028,130
2021-05-01,S08000029,18-74,1467,47
2021-05-01,S08000029,75plus,2561,83
2021-05-01,S08000030,18plus,1875,60
2021-05-01,S08000030,18-74,919,30
2021-05-01,S08000030,75plus,956,31
2021-05-01,S08000031,18plus,8622,278
2021-05-01,S08000031,18-74,3884,125
2021-05-01,S08000031,75plus,4738,153
2021-05-01,S08000032,18plus,3275,106
2021-05-01,S08000032,18-74,1016,33
2021-05-01,S08000032,75plus,2259,73
2021-05-01,S92000003,18plus,35348,1140
2021-05-01,S92000003,18-74,12660,408
2021-05-01,S92000003,75plus,22688,732
2021-06-01,S08000015,18plus,2955,99
2021-06-01,S08000015,18-74,1005,34
2021-06-01,S08000015,75plus,1950,65
2021-06-01,S08000016,18plus,1111,37
2021-06-01,S08000016,18-74,234,8
2021-06-01,S08000016,75plus,877,29
2021-06-01,S08000017,18plus,1297,43
2021-06-01,S08000017,18-74,464,15
2021-06-01,S08000017,75plus,833,28
2021-06-01,S08000019,18plus,2343,78
2021-06-01,S08000019,18-74,835,28
2021-06-01,S08000019,75plus,1508,50
2021-06-01,S08000020,18plus,1590,53
2021-06-01,S08000020,18-74,483,16
2021-06-01,S08000020,75plus,1107,37
2021-06-01,S08000022,18plus,2715,91
2021-06-01,S08000022,18-74,760,25
2021-06-01,S08000022,75plus,1955,65
2021-06-01,S08000024,18plus,5825,194
2021-06-01,S08000024,18-74,2002,67
2021-06-01,S08000024,75plus,3823,127
2021-06-01,S08000025,18plus,24,1
2021-06-01,S08000025,18-74,5,0
2021-06-01,S08000025,75plus,19,1
2021-06-01,S08000026,18plus,15,1
2021-06-01,S08000026,18-74,1,0
2021-06-01,S08000026,75plus,14,0
2021-06-01,S08000028,18plus,514,17
2021-06-01,S08000028,18-74,129,4
2021-06-01,S08000028,75plus,385,13
2021-06-01,S08000029,18plus,4005,134
2021-06-01,S08000029,18-74,1555,52
2021-06-01,S08000029,75plus,2450,82
