month_of_delay,hbt,age_group,number_of_delayed_bed_days,average_daily_number_of_delayed_beds
2017-03-01,S08000020,75plus,2792,90
2017-03-01,S08000022,18plus,4196,135
2017-03-01,S08000022,18-74,770,25
2017-03-01,S08000022,75plus,3426,111
2017-03-01,S08000024,18plus,9587,309
2017-03-01,S08000024,18-74,3147,102
2017-03-01,S08000024,75plus,6440,208
2017-03-01,S08000025,18plus,45,1
2017-03-01,S08000025,18-74,27,1
2017-03-01,S08000025,75plus,18,1
2017-03-01,S08000026,18plus,30,1
2017-03-01,S08000026,18-74,1,0
2017-03-01,S08000026,75plus,29,1
2017-03-01,S08000028,18plus,598,19
2017-03-01,S08000028,18-74,149,5
2017-03-01,S08000028,75plus,449,14
2017-03-01,S08000029,18plus,1991,64
2017-03-01,S08000029,18-74,670,22
2017-03-01,S08000029,75plus,1321,43
2017-03-01,S08000030,18plus,3746,121
2017-03-01,S08000030,18-74,1430,46
2017-03-01,S08000030,75plus,2316,75
2017-03-01,S08000031,18plus,5127,165
2017-03-01,S08000031,18-74,2273,73
2017-03-01,S08000031,75plus,2854,92
2017-03-01,S08000032,18plus,6323,204
2017-03-01,S08000032,18-74,1899,61
2017-03-01,S08000032,75plus,4424,143
2017-03-01,S92000003,18plus,41493,1338
2017-03-01,S92000003,18-74,12972,418
2017-03-01,S92000003,75plus,28521,920
2017-04-01,S08000015,18plus,2248,75
2017-04-01,S08000015,18-74,492,16
2017-04-01,S08000015,75plus,1756,59
2017-04-01,S08000016,18plus,1070,36
2017-04-01,S08000016,18-74,326,11
2017-04-01,S08000016,75plus,744,25
2017-04-01,S08000017,18plus,1008,34
2017-04-01,S08000017,18-74,307,10
2017-04-01,S08000017,75plus,701,23
2017-04-01,S08000019,18plus,1818,61
2017-04-01,S08000019,18-74,404,13
2017-04-01,S08000019,75plus,1414,47
2017-04-01,S08000020,18plus,4539,151
2017-04-01,S08000020,18-74,1216,41
2017-04-01,S08000020,75plus,3323,111
2017-04-01,S08000022,18plus,4387,146
2017-04-01,S08000022,18-74,966,32
2017-04-01,S08000022,75plus,3421,114
2017-04-01,S08000024,18plus,8983,299
2017-04-01,S08000024,18-74,2980,99
2017-04-01,S08000024,75plus,6003,200
2017-04-01,S08000025,18plus,33,1
2017-04-01,S08000025,18-74,7,0
2017-04-01,S08000025,75plus,26,1
2017-04-01,S08000026,18plus,46,2
2017-04-01,S08000026,18-74,29,1
2017-04-01,S08000026,75plus,17,1
2017-04-01,S08000028,18plus,560,19
2017-04-01,S08000028,18-74,121,4
2017-04-01,S08000028,75plus,439,15
2017-04-01,S08000029,18plus,2106,70
2017-04-01,S08000029,18-74,747,25
2017-04-01,S08000029,75plus,1359,45
2017-04-01,S08000030,18plus,3106,104
2017-04-01,S08000030,18-74,1446,48
2017-04-01,S08000030,75plus,1660,55
2017-04-01,S08000031,18plus,4743,158
2017-04-01,S08000031,18-74,2193,73
2017-04-01,S08000031,75plus,2550,85
2017-04-01,S08000032,18plus,6278,209
2017-04-01,S08000032,18-74,1768,59
2017-04-01,S08000032,75plus,4510,150
2017-04-01,S92000003,18plus,40925,1364
2017-04-01,S92000003,18-74,13002,433
2017-04-01,S92000003,75plus,27923,931
2017-05-01,S08000015,18plus,2216,71
2017-05-01,S08000015,18-74,577,19
2017-05-01,S08000015,75plus,1639,53
2017-05-01,S08000016,18plus,970,31
2017-05-01,S08000016,18-74,259,8
2017-05-01,S08000016,75plus,711,23
2017-05-01,S08000017,18plus,895,29
2017-05-01,S08000017,18-74,197,6
2017-05-01,S08000017,75plus,698,23
2017-05-01,S08000019,18plus,1795,58
2017-05-01,S08000019,18-74,499,16
2017-05-01,S08000019,75plus,1296,42
2017-05-01,S08000020,18plus,4299,139
2017-05-01,S08000020,18-74,1454,47
2017-05-01,S08000020,75plus,2845,92
2017-05-01,S08000022,18plus,3835,124
